# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 2000
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.8260
1	15	100	0	0.8080
2	15	100	0	0.8167
3	15	100	0	0.7580
4	15	100	0	0.7653
5	15	100	0	0.7827
6	15	100	0	0.8120
7	15	100	0	0.7947
8	15	100	0	0.7680
9	15	100	0	0.7707
10	15	100	0	0.7673
11	15	100	0	0.7773
12	15	100	0	0.8260
13	15	100	0	0.8273
14	15	100	0	0.7667
15	15	100	0	0.6880
16	15	100	0	0.7593
17	15	100	0	0.6767
18	15	100	0	0.8153
19	15	100	0	0.8093
20	15	100	0	0.7013
21	15	100	0	0.7767
22	15	100	0	0.7513
23	15	100	0	0.7287
24	15	100	0	0.7260
25	15	100	0	0.8707
26	15	100	0	0.8353
27	15	100	0	0.7600
28	15	100	0	0.7147
29	15	100	0	0.7053
30	15	100	0	0.7773
31	15	100	0	0.7953
32	15	100	0	0.8193
33	15	100	0	0.7193
34	15	100	0	0.8273
35	15	100	0	0.7953
36	15	100	0	0.8247
37	15	100	0	0.7480
38	15	100	0	0.8047
39	15	100	0	0.7167
40	15	100	0	0.7387
41	15	100	0	0.7080
42	15	100	0	0.6973
43	15	100	0	0.7400
44	15	100	0	0.8140
45	15	100	0	0.7927
46	15	100	0	0.8313
47	15	100	0	0.7767
48	15	100	0	0.8027
49	15	100	0	0.8267
# overall average accuracy: 0.7748
