trial	num patterns	pattern size	num. corrupt units	avg. acc
0	25	100	0	0.9168
1	25	100	0	0.8524
2	25	100	0	0.9180
3	25	100	0	0.8988
4	25	100	0	0.9324
5	25	100	0	0.8580
6	25	100	0	0.8612
7	25	100	0	0.8612
8	25	100	0	0.9164
9	25	100	0	0.9240
10	25	100	0	0.8256
11	25	100	0	0.8748
12	25	100	0	0.9008
13	25	100	0	0.8288
14	25	100	0	0.7832
15	25	100	0	0.8832
16	25	100	0	0.8584
17	25	100	0	0.8384
18	25	100	0	0.8900
19	25	100	0	0.8508
20	25	100	0	0.8968
21	25	100	0	0.8912
22	25	100	0	0.8704
23	25	100	0	0.8248
24	25	100	0	0.8900
25	25	100	0	0.9028
26	25	100	0	0.8264
27	25	100	0	0.9184
28	25	100	0	0.9084
29	25	100	0	0.7604
30	25	100	0	0.8296
31	25	100	0	0.9564
32	25	100	0	0.8540
33	25	100	0	0.9120
34	25	100	0	0.8140
35	25	100	0	0.8624
36	25	100	0	0.8720
37	25	100	0	0.8088
38	25	100	0	0.8628
39	25	100	0	0.8892
40	25	100	0	0.8936
41	25	100	0	0.9204
42	25	100	0	0.8812
43	25	100	0	0.8528
44	25	100	0	0.7380
45	25	100	0	0.9416
46	25	100	0	0.8792
47	25	100	0	0.8156
48	25	100	0	0.8460
49	25	100	0	0.8244
# overall average accuracy: 0.8683
