# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 10000
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.5020
1	15	100	0	0.4993
2	15	100	0	0.4967
3	15	100	0	0.4980
4	15	100	0	0.4980
5	15	100	0	0.4980
6	15	100	0	0.4980
7	15	100	0	0.4993
8	15	100	0	0.5007
9	15	100	0	0.4940
10	15	100	0	0.4980
11	15	100	0	0.4980
12	15	100	0	0.5007
13	15	100	0	0.4953
14	15	100	0	0.4980
15	15	100	0	0.4993
16	15	100	0	0.5033
17	15	100	0	0.4993
18	15	100	0	0.4993
19	15	100	0	0.4980
20	15	100	0	0.4993
21	15	100	0	0.4993
22	15	100	0	0.4993
23	15	100	0	0.4980
24	15	100	0	0.4980
25	15	100	0	0.4927
26	15	100	0	0.4940
27	15	100	0	0.5020
28	15	100	0	0.5020
29	15	100	0	0.5007
30	15	100	0	0.4980
31	15	100	0	0.4967
32	15	100	0	0.4980
33	15	100	0	0.4967
34	15	100	0	0.5007
35	15	100	0	0.5033
36	15	100	0	0.5020
37	15	100	0	0.4980
38	15	100	0	0.5033
39	15	100	0	0.4980
40	15	100	0	0.5007
41	15	100	0	0.5007
42	15	100	0	0.4993
43	15	100	0	0.5020
44	15	100	0	0.4993
45	15	100	0	0.4980
46	15	100	0	0.4993
47	15	100	0	0.4967
48	15	100	0	0.4993
49	15	100	0	0.4980
# overall average accuracy: 0.4989
