# params:
# num. input: 20
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
# num. GD steps: 10
# num. trials: 100
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	20	100	0	0.9200
1	20	100	0	0.9025
2	20	100	0	0.7985
3	20	100	0	0.8870
4	20	100	0	0.9365
5	20	100	0	0.8635
6	20	100	0	0.9485
7	20	100	0	0.8075
8	20	100	0	0.9215
9	20	100	0	0.9480
10	20	100	0	0.8780
11	20	100	0	0.8440
12	20	100	0	0.9790
13	20	100	0	0.9560
14	20	100	0	0.8450
15	20	100	0	0.9640
16	20	100	0	0.8885
17	20	100	0	0.9415
18	20	100	0	0.9660
19	20	100	0	0.9340
20	20	100	0	0.9375
21	20	100	0	0.8895
22	20	100	0	0.9445
23	20	100	0	0.8885
24	20	100	0	0.9460
25	20	100	0	0.8775
26	20	100	0	0.9100
27	20	100	0	0.8485
28	20	100	0	0.9040
29	20	100	0	0.9705
30	20	100	0	0.9465
31	20	100	0	0.9060
32	20	100	0	0.9580
33	20	100	0	0.9105
34	20	100	0	0.9305
35	20	100	0	0.9215
36	20	100	0	0.9445
37	20	100	0	0.9565
38	20	100	0	0.9620
39	20	100	0	0.9110
40	20	100	0	0.8410
41	20	100	0	0.9055
42	20	100	0	0.8610
43	20	100	0	0.9305
44	20	100	0	0.8815
45	20	100	0	0.8645
46	20	100	0	0.9095
47	20	100	0	0.9740
48	20	100	0	0.9110
49	20	100	0	0.9090
50	20	100	0	0.9310
51	20	100	0	0.9300
52	20	100	0	0.9480
53	20	100	0	0.7900
54	20	100	0	0.9845
55	20	100	0	0.7640
56	20	100	0	0.9120
57	20	100	0	0.9385
58	20	100	0	0.7815
59	20	100	0	0.9150
60	20	100	0	0.9030
61	20	100	0	0.8750
62	20	100	0	0.9750
63	20	100	0	0.9605
64	20	100	0	0.7850
65	20	100	0	0.9190
66	20	100	0	0.9370
67	20	100	0	0.9555
68	20	100	0	0.9285
69	20	100	0	0.9690
70	20	100	0	0.9470
71	20	100	0	0.9040
72	20	100	0	0.9475
73	20	100	0	0.9335
74	20	100	0	0.9680
75	20	100	0	0.8515
76	20	100	0	0.8895
77	20	100	0	0.9665
78	20	100	0	0.8545
79	20	100	0	0.9330
80	20	100	0	0.9330
81	20	100	0	0.9830
82	20	100	0	0.9635
83	20	100	0	0.9715
84	20	100	0	0.9340
85	20	100	0	0.8975
86	20	100	0	0.9610
87	20	100	0	0.9305
88	20	100	0	0.9275
89	20	100	0	0.8545
90	20	100	0	0.9390
91	20	100	0	0.8660
92	20	100	0	0.9220
93	20	100	0	0.9150
94	20	100	0	0.9390
95	20	100	0	0.9530
96	20	100	0	0.8635
97	20	100	0	0.9685
98	20	100	0	0.9435
99	20	100	0	0.9065
# overall average accuracy: 0.9145
