# params:
# num. input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
# num. GD steps: 10
# num. trials: 100
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.9767
1	15	100	0	0.9907
2	15	100	0	0.9760
3	15	100	0	0.9653
4	15	100	0	0.9973
5	15	100	0	0.9927
6	15	100	0	0.9553
7	15	100	0	0.9420
8	15	100	0	0.9793
9	15	100	0	0.9553
10	15	100	0	0.9680
11	15	100	0	0.9767
12	15	100	0	0.9760
13	15	100	0	0.9620
14	15	100	0	0.9887
15	15	100	0	0.9987
16	15	100	0	0.9747
17	15	100	0	0.9707
18	15	100	0	0.9987
19	15	100	0	0.9393
20	15	100	0	0.8320
21	15	100	0	0.9193
22	15	100	0	0.9587
23	15	100	0	0.9573
24	15	100	0	0.9987
25	15	100	0	0.9487
26	15	100	0	0.9873
27	15	100	0	0.9907
28	15	100	0	0.9873
29	15	100	0	0.9987
30	15	100	0	0.9973
31	15	100	0	0.9893
32	15	100	0	0.9660
33	15	100	0	0.9800
34	15	100	0	0.9947
35	15	100	0	0.9913
36	15	100	0	0.9960
37	15	100	0	0.9567
38	15	100	0	0.9013
39	15	100	0	0.9907
40	15	100	0	0.9587
41	15	100	0	0.9967
42	15	100	0	0.9927
43	15	100	0	0.9707
44	15	100	0	0.9633
45	15	100	0	0.9953
46	15	100	0	0.9887
47	15	100	0	0.9787
48	15	100	0	1.0000
49	15	100	0	0.9973
50	15	100	0	0.9767
51	15	100	0	0.9860
52	15	100	0	0.9740
53	15	100	0	0.9967
54	15	100	0	0.9913
55	15	100	0	0.9920
56	15	100	0	0.9733
57	15	100	0	1.0000
58	15	100	0	0.9967
59	15	100	0	0.9700
60	15	100	0	0.9747
61	15	100	0	0.9933
62	15	100	0	0.9947
63	15	100	0	1.0000
64	15	100	0	0.9627
65	15	100	0	0.9947
66	15	100	0	0.9807
67	15	100	0	0.9760
68	15	100	0	0.9927
69	15	100	0	0.9940
70	15	100	0	0.9313
71	15	100	0	0.9987
72	15	100	0	0.9800
73	15	100	0	0.9887
74	15	100	0	0.9907
75	15	100	0	0.9900
76	15	100	0	0.9860
77	15	100	0	0.9780
78	15	100	0	0.9973
79	15	100	0	0.9680
80	15	100	0	0.9980
81	15	100	0	0.9920
82	15	100	0	0.9947
83	15	100	0	0.9900
84	15	100	0	0.9907
85	15	100	0	0.9840
86	15	100	0	0.9800
87	15	100	0	0.9960
88	15	100	0	0.9947
89	15	100	0	0.9973
90	15	100	0	0.9973
91	15	100	0	0.9400
92	15	100	0	0.9893
93	15	100	0	0.9460
94	15	100	0	1.0000
95	15	100	0	0.9967
96	15	100	0	0.9933
97	15	100	0	0.9620
98	15	100	0	0.9613
99	15	100	0	0.9993
# overall average accuracy: 0.9790
