# params:
# num. input: 40
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
# num. GD steps: 10
# num. trials: 100
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	40	100	0	0.6650
1	40	100	0	0.6552
2	40	100	0	0.6975
3	40	100	0	0.7278
4	40	100	0	0.6750
5	40	100	0	0.6960
6	40	100	0	0.6980
7	40	100	0	0.6633
8	40	100	0	0.6998
9	40	100	0	0.7255
10	40	100	0	0.7528
11	40	100	0	0.7468
12	40	100	0	0.6765
13	40	100	0	0.6840
14	40	100	0	0.7255
15	40	100	0	0.7260
16	40	100	0	0.7542
17	40	100	0	0.6790
18	40	100	0	0.6940
19	40	100	0	0.6550
20	40	100	0	0.7138
21	40	100	0	0.7223
22	40	100	0	0.7195
23	40	100	0	0.7230
24	40	100	0	0.7055
25	40	100	0	0.6842
26	40	100	0	0.7190
27	40	100	0	0.7083
28	40	100	0	0.7255
29	40	100	0	0.7357
30	40	100	0	0.6773
31	40	100	0	0.7472
32	40	100	0	0.7230
33	40	100	0	0.7127
34	40	100	0	0.7270
35	40	100	0	0.7337
36	40	100	0	0.7263
37	40	100	0	0.7237
38	40	100	0	0.7180
39	40	100	0	0.6512
40	40	100	0	0.7145
41	40	100	0	0.6718
42	40	100	0	0.6867
43	40	100	0	0.7302
44	40	100	0	0.7263
45	40	100	0	0.6837
46	40	100	0	0.7160
47	40	100	0	0.7205
48	40	100	0	0.7130
49	40	100	0	0.6758
50	40	100	0	0.6878
51	40	100	0	0.6932
52	40	100	0	0.7115
53	40	100	0	0.6995
54	40	100	0	0.6877
55	40	100	0	0.7162
56	40	100	0	0.7440
57	40	100	0	0.6933
58	40	100	0	0.7205
59	40	100	0	0.7367
60	40	100	0	0.7378
61	40	100	0	0.6983
62	40	100	0	0.7165
63	40	100	0	0.6992
64	40	100	0	0.7373
65	40	100	0	0.7308
66	40	100	0	0.7395
67	40	100	0	0.6308
68	40	100	0	0.6610
69	40	100	0	0.6995
70	40	100	0	0.7188
71	40	100	0	0.7370
72	40	100	0	0.6823
73	40	100	0	0.7285
74	40	100	0	0.6903
75	40	100	0	0.7320
76	40	100	0	0.7202
77	40	100	0	0.7538
78	40	100	0	0.6920
79	40	100	0	0.7157
80	40	100	0	0.7275
81	40	100	0	0.7378
82	40	100	0	0.7060
83	40	100	0	0.7120
84	40	100	0	0.7498
85	40	100	0	0.6750
86	40	100	0	0.7595
87	40	100	0	0.7450
88	40	100	0	0.7240
89	40	100	0	0.7220
90	40	100	0	0.6688
91	40	100	0	0.7410
92	40	100	0	0.7515
93	40	100	0	0.7210
94	40	100	0	0.7090
95	40	100	0	0.6590
96	40	100	0	0.7578
97	40	100	0	0.7395
98	40	100	0	0.7018
99	40	100	0	0.6955
# overall average accuracy: 0.7105
