# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 4000
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.4747
1	15	100	0	0.5007
2	15	100	0	0.5793
3	15	100	0	0.5400
4	15	100	0	0.5853
5	15	100	0	0.5693
6	15	100	0	0.5653
7	15	100	0	0.5380
8	15	100	0	0.4913
9	15	100	0	0.4807
10	15	100	0	0.4520
11	15	100	0	0.4847
12	15	100	0	0.5900
13	15	100	0	0.4860
14	15	100	0	0.5533
15	15	100	0	0.5993
16	15	100	0	0.5820
17	15	100	0	0.6007
18	15	100	0	0.4967
19	15	100	0	0.5020
20	15	100	0	0.6140
21	15	100	0	0.4827
22	15	100	0	0.4980
23	15	100	0	0.5613
24	15	100	0	0.4913
25	15	100	0	0.5053
26	15	100	0	0.4920
27	15	100	0	0.4813
28	15	100	0	0.4080
29	15	100	0	0.4180
30	15	100	0	0.5480
31	15	100	0	0.4293
32	15	100	0	0.5153
33	15	100	0	0.4967
34	15	100	0	0.5847
35	15	100	0	0.5800
36	15	100	0	0.5433
37	15	100	0	0.4747
38	15	100	0	0.5560
39	15	100	0	0.6120
40	15	100	0	0.5980
41	15	100	0	0.4840
42	15	100	0	0.6100
43	15	100	0	0.5907
44	15	100	0	0.4600
45	15	100	0	0.5880
46	15	100	0	0.5700
47	15	100	0	0.4727
48	15	100	0	0.4927
49	15	100	0	0.5053
# overall average accuracy: 0.5267
