trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.8040
1	15	100	0	0.8000
2	15	100	0	0.8000
3	15	100	0	0.8040
4	15	100	0	0.8000
5	15	100	0	0.8000
6	15	100	0	0.8007
7	15	100	0	0.8007
8	15	100	0	0.8007
9	15	100	0	0.8033
10	15	100	0	0.8007
11	15	100	0	0.8007
12	15	100	0	0.8007
13	15	100	0	0.8020
14	15	100	0	0.8000
15	15	100	0	0.8013
16	15	100	0	0.8013
17	15	100	0	0.8007
18	15	100	0	0.8013
19	15	100	0	0.8007
20	15	100	0	0.8047
21	15	100	0	0.8007
22	15	100	0	0.8040
23	15	100	0	0.8007
24	15	100	0	0.8000
25	15	100	0	0.8007
26	15	100	0	0.8000
27	15	100	0	0.8013
28	15	100	0	0.8027
29	15	100	0	0.8007
30	15	100	0	0.8000
31	15	100	0	0.8027
32	15	100	0	0.8033
33	15	100	0	0.8013
34	15	100	0	0.8027
35	15	100	0	0.8000
36	15	100	0	0.8007
37	15	100	0	0.8047
38	15	100	0	0.8000
39	15	100	0	0.8020
40	15	100	0	0.8000
41	15	100	0	0.8013
42	15	100	0	0.8000
43	15	100	0	0.8007
44	15	100	0	0.8007
45	15	100	0	0.8007
46	15	100	0	0.8000
47	15	100	0	0.8007
48	15	100	0	0.8007
49	15	100	0	0.8000
# overall average accuracy: 0.8012
