# params:
# num. input: 30
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
# num. GD steps: 10
# num. trials: 100
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	30	100	0	0.7847
1	30	100	0	0.7187
2	30	100	0	0.7290
3	30	100	0	0.6727
4	30	100	0	0.7730
5	30	100	0	0.7493
6	30	100	0	0.7730
7	30	100	0	0.7227
8	30	100	0	0.7770
9	30	100	0	0.7387
10	30	100	0	0.8083
11	30	100	0	0.8220
12	30	100	0	0.7480
13	30	100	0	0.8637
14	30	100	0	0.7423
15	30	100	0	0.7340
16	30	100	0	0.7573
17	30	100	0	0.7880
18	30	100	0	0.8180
19	30	100	0	0.7837
20	30	100	0	0.7327
21	30	100	0	0.7983
22	30	100	0	0.8217
23	30	100	0	0.7500
24	30	100	0	0.7627
25	30	100	0	0.7943
26	30	100	0	0.7897
27	30	100	0	0.7610
28	30	100	0	0.7877
29	30	100	0	0.7347
30	30	100	0	0.8090
31	30	100	0	0.7073
32	30	100	0	0.7713
33	30	100	0	0.7753
34	30	100	0	0.7770
35	30	100	0	0.7863
36	30	100	0	0.7467
37	30	100	0	0.7287
38	30	100	0	0.7697
39	30	100	0	0.7607
40	30	100	0	0.7987
41	30	100	0	0.8017
42	30	100	0	0.7937
43	30	100	0	0.7170
44	30	100	0	0.8000
45	30	100	0	0.8520
46	30	100	0	0.7537
47	30	100	0	0.6623
48	30	100	0	0.7860
49	30	100	0	0.7980
50	30	100	0	0.7997
51	30	100	0	0.7843
52	30	100	0	0.7727
53	30	100	0	0.7307
54	30	100	0	0.8187
55	30	100	0	0.8427
56	30	100	0	0.8307
57	30	100	0	0.7663
58	30	100	0	0.7570
59	30	100	0	0.8047
60	30	100	0	0.7677
61	30	100	0	0.8413
62	30	100	0	0.7790
63	30	100	0	0.8050
64	30	100	0	0.7613
65	30	100	0	0.7183
66	30	100	0	0.7420
67	30	100	0	0.7893
68	30	100	0	0.8100
69	30	100	0	0.7230
70	30	100	0	0.8470
71	30	100	0	0.7780
72	30	100	0	0.7353
73	30	100	0	0.7097
74	30	100	0	0.7277
75	30	100	0	0.7953
76	30	100	0	0.7180
77	30	100	0	0.7757
78	30	100	0	0.8067
79	30	100	0	0.7760
80	30	100	0	0.7913
81	30	100	0	0.7863
82	30	100	0	0.8137
83	30	100	0	0.7753
84	30	100	0	0.7610
85	30	100	0	0.7787
86	30	100	0	0.7473
87	30	100	0	0.7977
88	30	100	0	0.7863
89	30	100	0	0.7910
90	30	100	0	0.7747
91	30	100	0	0.8030
92	30	100	0	0.7977
93	30	100	0	0.8223
94	30	100	0	0.6857
95	30	100	0	0.7680
96	30	100	0	0.7443
97	30	100	0	0.7947
98	30	100	0	0.7703
99	30	100	0	0.7857
# overall average accuracy: 0.7732
