# params:
# num. input: 25
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
# num. GD steps: 10
# num. trials: 100
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	25	100	0	0.7584
1	25	100	0	0.8696
2	25	100	0	0.8420
3	25	100	0	0.8344
4	25	100	0	0.8224
5	25	100	0	0.7964
6	25	100	0	0.8376
7	25	100	0	0.8920
8	25	100	0	0.8668
9	25	100	0	0.8592
10	25	100	0	0.8072
11	25	100	0	0.8136
12	25	100	0	0.8572
13	25	100	0	0.8736
14	25	100	0	0.8240
15	25	100	0	0.7996
16	25	100	0	0.8544
17	25	100	0	0.8320
18	25	100	0	0.8728
19	25	100	0	0.7272
20	25	100	0	0.8808
21	25	100	0	0.8820
22	25	100	0	0.7680
23	25	100	0	0.8324
24	25	100	0	0.8212
25	25	100	0	0.8636
26	25	100	0	0.8984
27	25	100	0	0.8384
28	25	100	0	0.8712
29	25	100	0	0.8180
30	25	100	0	0.7752
31	25	100	0	0.8796
32	25	100	0	0.9020
33	25	100	0	0.8284
34	25	100	0	0.8328
35	25	100	0	0.8140
36	25	100	0	0.8604
37	25	100	0	0.8284
38	25	100	0	0.8476
39	25	100	0	0.8088
40	25	100	0	0.9220
41	25	100	0	0.8876
42	25	100	0	0.8296
43	25	100	0	0.8604
44	25	100	0	0.7752
45	25	100	0	0.8264
46	25	100	0	0.7680
47	25	100	0	0.8248
48	25	100	0	0.8096
49	25	100	0	0.8780
50	25	100	0	0.8388
51	25	100	0	0.8376
52	25	100	0	0.9172
53	25	100	0	0.8756
54	25	100	0	0.8396
55	25	100	0	0.8540
56	25	100	0	0.8732
57	25	100	0	0.8516
58	25	100	0	0.8204
59	25	100	0	0.8876
60	25	100	0	0.8940
61	25	100	0	0.8724
62	25	100	0	0.8308
63	25	100	0	0.7888
64	25	100	0	0.7788
65	25	100	0	0.8452
66	25	100	0	0.8416
67	25	100	0	0.8056
68	25	100	0	0.8160
69	25	100	0	0.8292
70	25	100	0	0.8944
71	25	100	0	0.8036
72	25	100	0	0.8108
73	25	100	0	0.9056
74	25	100	0	0.7688
75	25	100	0	0.8496
76	25	100	0	0.7952
77	25	100	0	0.7964
78	25	100	0	0.8336
79	25	100	0	0.8940
80	25	100	0	0.7880
81	25	100	0	0.8036
82	25	100	0	0.8180
83	25	100	0	0.7828
84	25	100	0	0.8416
85	25	100	0	0.9332
86	25	100	0	0.8388
87	25	100	0	0.7820
88	25	100	0	0.8404
89	25	100	0	0.8220
90	25	100	0	0.8060
91	25	100	0	0.9008
92	25	100	0	0.8432
93	25	100	0	0.8140
94	25	100	0	0.9116
95	25	100	0	0.8480
96	25	100	0	0.8256
97	25	100	0	0.8480
98	25	100	0	0.8064
99	25	100	0	0.8076
# overall average accuracy: 0.8378
