# params:
# num. input: 50
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
# num. GD steps: 10
# num. trials: 100
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	50	100	0	0.6966
1	50	100	0	0.7240
2	50	100	0	0.6918
3	50	100	0	0.6948
4	50	100	0	0.6748
5	50	100	0	0.7298
6	50	100	0	0.6878
7	50	100	0	0.7276
8	50	100	0	0.6874
9	50	100	0	0.7116
10	50	100	0	0.7022
11	50	100	0	0.6998
12	50	100	0	0.7182
13	50	100	0	0.6986
14	50	100	0	0.6820
15	50	100	0	0.7236
16	50	100	0	0.6540
17	50	100	0	0.6752
18	50	100	0	0.7174
19	50	100	0	0.6842
20	50	100	0	0.6436
21	50	100	0	0.7064
22	50	100	0	0.7240
23	50	100	0	0.6756
24	50	100	0	0.6492
25	50	100	0	0.7158
26	50	100	0	0.6618
27	50	100	0	0.7194
28	50	100	0	0.6994
29	50	100	0	0.7136
30	50	100	0	0.7030
31	50	100	0	0.6370
32	50	100	0	0.6652
33	50	100	0	0.6464
34	50	100	0	0.7164
35	50	100	0	0.7498
36	50	100	0	0.6830
37	50	100	0	0.6944
38	50	100	0	0.7128
39	50	100	0	0.6976
40	50	100	0	0.6790
41	50	100	0	0.6248
42	50	100	0	0.7278
43	50	100	0	0.7312
44	50	100	0	0.6560
45	50	100	0	0.6102
46	50	100	0	0.6802
47	50	100	0	0.7030
48	50	100	0	0.6522
49	50	100	0	0.6950
50	50	100	0	0.6770
51	50	100	0	0.7260
52	50	100	0	0.6986
53	50	100	0	0.6862
54	50	100	0	0.7118
55	50	100	0	0.7242
56	50	100	0	0.7208
57	50	100	0	0.6914
58	50	100	0	0.6714
59	50	100	0	0.6776
60	50	100	0	0.7416
61	50	100	0	0.6814
62	50	100	0	0.6450
63	50	100	0	0.6882
64	50	100	0	0.6698
65	50	100	0	0.6916
66	50	100	0	0.7206
67	50	100	0	0.6746
68	50	100	0	0.7132
69	50	100	0	0.7132
70	50	100	0	0.6990
71	50	100	0	0.6750
72	50	100	0	0.6998
73	50	100	0	0.7190
74	50	100	0	0.6888
75	50	100	0	0.6808
76	50	100	0	0.7346
77	50	100	0	0.6924
78	50	100	0	0.6958
79	50	100	0	0.7152
80	50	100	0	0.6750
81	50	100	0	0.7032
82	50	100	0	0.6906
83	50	100	0	0.7268
84	50	100	0	0.6368
85	50	100	0	0.7106
86	50	100	0	0.6960
87	50	100	0	0.6768
88	50	100	0	0.6894
89	50	100	0	0.7000
90	50	100	0	0.7336
91	50	100	0	0.6874
92	50	100	0	0.7184
93	50	100	0	0.6946
94	50	100	0	0.7110
95	50	100	0	0.6832
96	50	100	0	0.7028
97	50	100	0	0.6854
98	50	100	0	0.6838
99	50	100	0	0.7068
# overall average accuracy: 0.6939
