# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 5000
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.4860
1	15	100	0	0.4473
2	15	100	0	0.4740
3	15	100	0	0.5227
4	15	100	0	0.5647
5	15	100	0	0.5487
6	15	100	0	0.4407
7	15	100	0	0.4220
8	15	100	0	0.4900
9	15	100	0	0.4133
10	15	100	0	0.4500
11	15	100	0	0.4127
12	15	100	0	0.3953
13	15	100	0	0.4587
14	15	100	0	0.4840
15	15	100	0	0.4960
16	15	100	0	0.5247
17	15	100	0	0.4760
18	15	100	0	0.4253
19	15	100	0	0.5433
20	15	100	0	0.4347
21	15	100	0	0.4267
22	15	100	0	0.4153
23	15	100	0	0.4913
24	15	100	0	0.4580
25	15	100	0	0.4560
26	15	100	0	0.5147
27	15	100	0	0.4573
28	15	100	0	0.5413
29	15	100	0	0.4347
30	15	100	0	0.4487
31	15	100	0	0.4700
32	15	100	0	0.4620
33	15	100	0	0.4787
34	15	100	0	0.4513
35	15	100	0	0.5153
36	15	100	0	0.4420
37	15	100	0	0.4513
38	15	100	0	0.4280
39	15	100	0	0.4527
40	15	100	0	0.4167
41	15	100	0	0.4560
42	15	100	0	0.4140
43	15	100	0	0.4073
44	15	100	0	0.4887
45	15	100	0	0.4093
46	15	100	0	0.4313
47	15	100	0	0.4380
48	15	100	0	0.5093
49	15	100	0	0.4140
# overall average accuracy: 0.4618
