trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.9987
1	15	100	0	0.9547
2	15	100	0	0.9627
3	15	100	0	0.9973
4	15	100	0	0.9387
5	15	100	0	0.9980
6	15	100	0	0.9827
7	15	100	0	0.9773
8	15	100	0	0.9773
9	15	100	0	0.9673
10	15	100	0	0.8513
11	15	100	0	0.9933
12	15	100	0	0.9980
13	15	100	0	0.9900
14	15	100	0	0.9780
15	15	100	0	0.9680
16	15	100	0	0.9953
17	15	100	0	0.9840
18	15	100	0	0.9753
19	15	100	0	0.9580
20	15	100	0	0.9173
21	15	100	0	0.9307
22	15	100	0	0.9493
23	15	100	0	0.9873
24	15	100	0	0.9793
25	15	100	0	0.9387
26	15	100	0	0.9440
27	15	100	0	0.9747
28	15	100	0	0.9647
29	15	100	0	0.9973
30	15	100	0	0.9500
31	15	100	0	0.9673
32	15	100	0	0.9953
33	15	100	0	0.9420
34	15	100	0	0.9993
35	15	100	0	0.9680
36	15	100	0	0.9887
37	15	100	0	0.9947
38	15	100	0	0.9887
39	15	100	0	0.9933
40	15	100	0	0.9960
41	15	100	0	0.9627
42	15	100	0	0.9760
43	15	100	0	0.9933
44	15	100	0	0.9493
45	15	100	0	0.9380
46	15	100	0	0.9867
47	15	100	0	0.8940
48	15	100	0	0.9727
49	15	100	0	0.9813
# overall average accuracy: 0.9693
