trial	num patterns	pattern size	num. corrupt units	avg. acc
0	30	100	0	0.8390
1	30	100	0	0.8643
2	30	100	0	0.7547
3	30	100	0	0.7283
4	30	100	0	0.8083
5	30	100	0	0.8103
6	30	100	0	0.8000
7	30	100	0	0.7693
8	30	100	0	0.7113
9	30	100	0	0.7417
10	30	100	0	0.7873
11	30	100	0	0.8480
12	30	100	0	0.7910
13	30	100	0	0.6603
14	30	100	0	0.7103
15	30	100	0	0.8370
16	30	100	0	0.8300
17	30	100	0	0.8297
18	30	100	0	0.8440
19	30	100	0	0.7733
20	30	100	0	0.7743
21	30	100	0	0.8387
22	30	100	0	0.8220
23	30	100	0	0.8203
24	30	100	0	0.8040
25	30	100	0	0.8217
26	30	100	0	0.7457
27	30	100	0	0.7960
28	30	100	0	0.8417
29	30	100	0	0.8047
30	30	100	0	0.7170
31	30	100	0	0.8103
32	30	100	0	0.7763
33	30	100	0	0.7937
34	30	100	0	0.8347
35	30	100	0	0.7810
36	30	100	0	0.8467
37	30	100	0	0.8370
38	30	100	0	0.7767
39	30	100	0	0.7667
40	30	100	0	0.7850
41	30	100	0	0.8367
42	30	100	0	0.7477
43	30	100	0	0.7817
44	30	100	0	0.8117
45	30	100	0	0.7357
46	30	100	0	0.7810
47	30	100	0	0.7907
48	30	100	0	0.7903
49	30	100	0	0.7620
# overall average accuracy: 0.7914
