# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 10
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.9873
1	15	100	0	0.9820
2	15	100	0	0.9687
3	15	100	0	1.0000
4	15	100	0	0.9907
5	15	100	0	0.9993
6	15	100	0	0.9973
7	15	100	0	0.9813
8	15	100	0	0.9727
9	15	100	0	0.9253
10	15	100	0	0.9760
11	15	100	0	0.9700
12	15	100	0	0.9087
13	15	100	0	0.9720
14	15	100	0	0.9427
15	15	100	0	0.9867
16	15	100	0	0.9940
17	15	100	0	0.9727
18	15	100	0	0.9980
19	15	100	0	0.9860
20	15	100	0	0.9333
21	15	100	0	0.9787
22	15	100	0	0.9660
23	15	100	0	0.9693
24	15	100	0	0.9920
25	15	100	0	0.9467
26	15	100	0	0.9507
27	15	100	0	0.9827
28	15	100	0	0.9040
29	15	100	0	0.9853
30	15	100	0	0.9633
31	15	100	0	0.9633
32	15	100	0	0.9753
33	15	100	0	0.9833
34	15	100	0	0.8873
35	15	100	0	0.9340
36	15	100	0	0.9860
37	15	100	0	0.9873
38	15	100	0	0.9847
39	15	100	0	0.9967
40	15	100	0	0.9827
41	15	100	0	0.9300
42	15	100	0	0.9980
43	15	100	0	0.9873
44	15	100	0	0.9840
45	15	100	0	0.9900
46	15	100	0	0.9973
47	15	100	0	0.9980
48	15	100	0	0.9773
49	15	100	0	0.9953
# overall average accuracy: 0.9724
