trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.9040
1	15	100	0	0.8707
2	15	100	0	0.9347
3	15	100	0	0.8513
4	15	100	0	0.8913
5	15	100	0	0.7760
6	15	100	0	0.8287
7	15	100	0	0.9073
8	15	100	0	0.9300
9	15	100	0	0.8207
10	15	100	0	0.7493
11	15	100	0	0.8400
12	15	100	0	0.8140
13	15	100	0	0.8780
14	15	100	0	0.8947
15	15	100	0	0.8680
16	15	100	0	0.7333
17	15	100	0	0.8640
18	15	100	0	0.9240
19	15	100	0	0.9907
20	15	100	0	0.9333
21	15	100	0	0.8653
22	15	100	0	0.9880
23	15	100	0	0.9120
24	15	100	0	0.8567
25	15	100	0	0.9387
26	15	100	0	0.9773
27	15	100	0	0.9367
28	15	100	0	0.9240
29	15	100	0	0.8420
30	15	100	0	0.8320
31	15	100	0	0.8867
32	15	100	0	0.8960
33	15	100	0	0.7127
34	15	100	0	0.8513
35	15	100	0	0.8680
36	15	100	0	0.9053
37	15	100	0	0.8173
38	15	100	0	0.9567
39	15	100	0	0.9407
40	15	100	0	0.9260
41	15	100	0	0.8600
42	15	100	0	0.7987
43	15	100	0	0.8880
44	15	100	0	0.7867
45	15	100	0	0.8807
46	15	100	0	0.9293
47	15	100	0	0.8547
48	15	100	0	0.8613
49	15	100	0	0.7873
# overall average accuracy: 0.8737
