trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.7220
1	15	100	0	0.7140
2	15	100	0	0.7133
3	15	100	0	0.7053
4	15	100	0	0.7067
5	15	100	0	0.7087
6	15	100	0	0.7287
7	15	100	0	0.7060
8	15	100	0	0.7167
9	15	100	0	0.7080
10	15	100	0	0.7140
11	15	100	0	0.7080
12	15	100	0	0.7107
13	15	100	0	0.7113
14	15	100	0	0.7253
15	15	100	0	0.7147
16	15	100	0	0.7160
17	15	100	0	0.7200
18	15	100	0	0.7047
19	15	100	0	0.7073
20	15	100	0	0.7267
21	15	100	0	0.7093
22	15	100	0	0.7080
23	15	100	0	0.7100
24	15	100	0	0.7107
25	15	100	0	0.7160
26	15	100	0	0.7073
27	15	100	0	0.7120
28	15	100	0	0.7127
29	15	100	0	0.7040
30	15	100	0	0.7213
31	15	100	0	0.7107
32	15	100	0	0.7100
33	15	100	0	0.7213
34	15	100	0	0.7060
35	15	100	0	0.7113
36	15	100	0	0.7173
37	15	100	0	0.7160
38	15	100	0	0.7100
39	15	100	0	0.7100
40	15	100	0	0.7127
41	15	100	0	0.7080
42	15	100	0	0.7120
43	15	100	0	0.7173
44	15	100	0	0.7127
45	15	100	0	0.7133
46	15	100	0	0.7133
47	15	100	0	0.7047
48	15	100	0	0.7133
49	15	100	0	0.7180
# overall average accuracy: 0.7127
