trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.8260
1	15	100	0	0.8360
2	15	100	0	0.8520
3	15	100	0	0.7167
4	15	100	0	0.8033
5	15	100	0	0.8280
6	15	100	0	0.7607
7	15	100	0	0.7920
8	15	100	0	0.9593
9	15	100	0	0.8467
10	15	100	0	0.9727
11	15	100	0	0.8993
12	15	100	0	0.8473
13	15	100	0	0.9020
14	15	100	0	0.8807
15	15	100	0	0.9953
16	15	100	0	0.7973
17	15	100	0	0.9600
18	15	100	0	0.8747
19	15	100	0	0.9433
20	15	100	0	0.9500
21	15	100	0	0.8467
22	15	100	0	0.7960
23	15	100	0	0.8300
24	15	100	0	0.8727
25	15	100	0	0.9113
26	15	100	0	0.8560
27	15	100	0	0.7780
28	15	100	0	0.8500
29	15	100	0	0.8900
30	15	100	0	0.8900
31	15	100	0	0.9087
32	15	100	0	0.8860
33	15	100	0	0.8353
34	15	100	0	0.9327
35	15	100	0	0.9280
36	15	100	0	0.9513
37	15	100	0	0.8060
38	15	100	0	0.8487
39	15	100	0	0.9373
40	15	100	0	0.9353
41	15	100	0	0.6913
42	15	100	0	0.7873
43	15	100	0	0.8520
44	15	100	0	0.7753
45	15	100	0	0.7920
46	15	100	0	0.9360
47	15	100	0	0.8873
48	15	100	0	0.7653
49	15	100	0	0.9047
# overall average accuracy: 0.8625
