# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 40
# num. dropout: 0
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	40	0.7753
1	15	100	40	0.8373
2	15	100	40	0.7920
3	15	100	40	0.7680
4	15	100	40	0.7367
5	15	100	40	0.7293
6	15	100	40	0.8033
7	15	100	40	0.7420
8	15	100	40	0.7133
9	15	100	40	0.7160
10	15	100	40	0.7573
11	15	100	40	0.7187
12	15	100	40	0.8093
13	15	100	40	0.7213
14	15	100	40	0.7000
15	15	100	40	0.7633
16	15	100	40	0.7220
17	15	100	40	0.7840
18	15	100	40	0.7587
19	15	100	40	0.7720
20	15	100	40	0.6420
21	15	100	40	0.8007
22	15	100	40	0.7073
23	15	100	40	0.7687
24	15	100	40	0.8160
25	15	100	40	0.7600
26	15	100	40	0.6920
27	15	100	40	0.8460
28	15	100	40	0.7033
29	15	100	40	0.6820
30	15	100	40	0.7220
31	15	100	40	0.7193
32	15	100	40	0.7193
33	15	100	40	0.7520
34	15	100	40	0.6707
35	15	100	40	0.6720
36	15	100	40	0.7473
37	15	100	40	0.7413
38	15	100	40	0.7987
39	15	100	40	0.7187
40	15	100	40	0.7460
41	15	100	40	0.6960
42	15	100	40	0.6713
43	15	100	40	0.7153
44	15	100	40	0.7680
45	15	100	40	0.7260
46	15	100	40	0.6747
47	15	100	40	0.7173
48	15	100	40	0.7393
49	15	100	40	0.7720
# overall average accuracy: 0.7405
