trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.7127
1	15	100	0	0.7073
2	15	100	0	0.7187
3	15	100	0	0.7113
4	15	100	0	0.7100
5	15	100	0	0.7067
6	15	100	0	0.7113
7	15	100	0	0.7033
8	15	100	0	0.7233
9	15	100	0	0.7160
10	15	100	0	0.7147
11	15	100	0	0.7080
12	15	100	0	0.7080
13	15	100	0	0.7100
14	15	100	0	0.7193
15	15	100	0	0.7267
16	15	100	0	0.7120
17	15	100	0	0.7107
18	15	100	0	0.7167
19	15	100	0	0.7120
20	15	100	0	0.7093
21	15	100	0	0.7153
22	15	100	0	0.7107
23	15	100	0	0.7033
24	15	100	0	0.7160
25	15	100	0	0.7093
26	15	100	0	0.7080
27	15	100	0	0.7067
28	15	100	0	0.7193
29	15	100	0	0.7033
30	15	100	0	0.7113
31	15	100	0	0.7080
32	15	100	0	0.7040
33	15	100	0	0.7127
34	15	100	0	0.7040
35	15	100	0	0.7153
36	15	100	0	0.7047
37	15	100	0	0.7113
38	15	100	0	0.7080
39	15	100	0	0.7107
40	15	100	0	0.7167
41	15	100	0	0.7047
42	15	100	0	0.7040
43	15	100	0	0.7093
44	15	100	0	0.7113
45	15	100	0	0.7147
46	15	100	0	0.7047
47	15	100	0	0.7180
48	15	100	0	0.7173
49	15	100	0	0.7120
# overall average accuracy: 0.7113
