# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 3000
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.5393
1	15	100	0	0.5360
2	15	100	0	0.6347
3	15	100	0	0.5920
4	15	100	0	0.4673
5	15	100	0	0.6733
6	15	100	0	0.6420
7	15	100	0	0.6793
8	15	100	0	0.4413
9	15	100	0	0.6473
10	15	100	0	0.7347
11	15	100	0	0.6833
12	15	100	0	0.6527
13	15	100	0	0.6887
14	15	100	0	0.6387
15	15	100	0	0.7820
16	15	100	0	0.5467
17	15	100	0	0.6607
18	15	100	0	0.5880
19	15	100	0	0.6100
20	15	100	0	0.5073
21	15	100	0	0.6320
22	15	100	0	0.6180
23	15	100	0	0.6400
24	15	100	0	0.4867
25	15	100	0	0.6727
26	15	100	0	0.6080
27	15	100	0	0.6707
28	15	100	0	0.7407
29	15	100	0	0.6867
30	15	100	0	0.5927
31	15	100	0	0.6380
32	15	100	0	0.6040
33	15	100	0	0.6487
34	15	100	0	0.7560
35	15	100	0	0.6260
36	15	100	0	0.6993
37	15	100	0	0.6247
38	15	100	0	0.6920
39	15	100	0	0.6160
40	15	100	0	0.6493
41	15	100	0	0.6673
42	15	100	0	0.6920
43	15	100	0	0.6100
44	15	100	0	0.6573
45	15	100	0	0.6293
46	15	100	0	0.6360
47	15	100	0	0.5500
48	15	100	0	0.5840
49	15	100	0	0.6373
# overall average accuracy: 0.6302
