trial	num patterns	pattern size	num. corrupt units	avg. acc
0	20	100	0	0.9175
1	20	100	0	0.9445
2	20	100	0	0.9445
3	20	100	0	0.9030
4	20	100	0	0.9400
5	20	100	0	0.8960
6	20	100	0	0.8665
7	20	100	0	0.9815
8	20	100	0	0.9670
9	20	100	0	0.9525
10	20	100	0	0.9095
11	20	100	0	0.9860
12	20	100	0	0.8515
13	20	100	0	0.9585
14	20	100	0	0.9100
15	20	100	0	0.8600
16	20	100	0	0.9070
17	20	100	0	0.9120
18	20	100	0	0.9610
19	20	100	0	0.9450
20	20	100	0	0.9345
21	20	100	0	0.9465
22	20	100	0	0.9470
23	20	100	0	0.9820
24	20	100	0	0.9555
25	20	100	0	0.9145
26	20	100	0	0.9050
27	20	100	0	0.9515
28	20	100	0	0.9105
29	20	100	0	0.9300
30	20	100	0	0.8800
31	20	100	0	0.8940
32	20	100	0	0.9480
33	20	100	0	0.9750
34	20	100	0	0.9585
35	20	100	0	0.9485
36	20	100	0	0.9505
37	20	100	0	0.8200
38	20	100	0	0.9295
39	20	100	0	0.8935
40	20	100	0	0.9765
41	20	100	0	0.9480
42	20	100	0	0.9535
43	20	100	0	0.8340
44	20	100	0	0.9465
45	20	100	0	0.9580
46	20	100	0	0.9325
47	20	100	0	0.9305
48	20	100	0	0.8985
49	20	100	0	0.9635
# overall average accuracy: 0.9286
